"","area_code","date","coho_104_ad_ret","coho_104_um_ret","coho_104_uk_ret","year","time_step","day_type","source"
"163","10","2004-02-11",0,0,0,2004,1,"WD","CRC"
"164","10","2004-02-12",0,0,0,2004,1,"WD","CRC"
"165","10","2004-02-13",0,0,0,2004,1,"WE","CRC"
"166","10","2004-02-14",0,0,0,2004,1,"WE","CRC"
"167","10","2004-02-15",0,0,0,2004,1,"WE","CRC"
"168","10","2004-02-16",0,0,0,2004,1,"WD","CRC"
"169","10","2004-02-17",0,0,0,2004,1,"WD","CRC"
"170","10","2004-02-18",0,0,0,2004,1,"WD","CRC"
"171","10","2004-02-19",0,0,0,2004,1,"WD","CRC"
"172","10","2004-02-20",0,0,0,2004,1,"WE","CRC"
"173","10","2004-02-21",0,0,0,2004,1,"WE","CRC"
"174","10","2004-02-22",0,0,0,2004,1,"WE","CRC"
"175","10","2004-02-23",0,0,0,2004,1,"WD","CRC"
"176","10","2004-02-24",0,0,0,2004,1,"WD","CRC"
"177","10","2004-02-25",0,0,0,2004,1,"WD","CRC"
"178","10","2004-02-26",0,0,0,2004,1,"WD","CRC"
"179","10","2004-02-27",0,0,0,2004,1,"WE","CRC"
"180","10","2004-02-28",0,0,0,2004,1,"WE","CRC"
"181","10","2004-02-29",0,0,0,2004,1,"WE","CRC"
"182","07","2004-02-01",0,0,0,2004,1,"WE","CRC"
"183","07","2004-02-02",0,0,0,2004,1,"WD","CRC"
"184","07","2004-02-03",0,0,0,2004,1,"WD","CRC"
"185","07","2004-02-04",0,0,0,2004,1,"WD","CRC"
"186","07","2004-02-05",0,0,0,2004,1,"WD","CRC"
"187","07","2004-02-06",0,0,0,2004,1,"WE","CRC"
"188","07","2004-02-07",0,0,0,2004,1,"WE","CRC"
"189","07","2004-02-08",0,0,0,2004,1,"WE","CRC"
"190","07","2004-02-09",0,0,0,2004,1,"WD","CRC"
"191","07","2004-02-10",0,0,0,2004,1,"WD","CRC"
"192","07","2004-02-11",0,0,0,2004,1,"WD","CRC"
"193","07","2004-02-12",0,0,0,2004,1,"WD","CRC"
"194","07","2004-02-13",0,0,0,2004,1,"WE","CRC"
"195","07","2004-02-14",0,0,0,2004,1,"WE","CRC"
"196","07","2004-02-15",0,0,0,2004,1,"WE","CRC"
"197","07","2004-02-16",0,0,0,2004,1,"WD","CRC"
"198","07","2004-02-17",0,0,0,2004,1,"WD","CRC"
"199","07","2004-02-18",0,0,0,2004,1,"WD","CRC"
"200","07","2004-02-19",0,0,0,2004,1,"WD","CRC"
"201","07","2004-02-20",0,0,0,2004,1,"WE","CRC"
"202","07","2004-02-21",0,0,0,2004,1,"WE","CRC"
"203","07","2004-02-22",0,0,0,2004,1,"WE","CRC"
"204","07","2004-02-23",0,0,0,2004,1,"WD","CRC"
"205","07","2004-02-24",0,0,0,2004,1,"WD","CRC"
"206","07","2004-02-25",0,0,0,2004,1,"WD","CRC"
"207","07","2004-02-26",0,0,0,2004,1,"WD","CRC"
"208","07","2004-02-27",0,0,0,2004,1,"WE","CRC"
"209","07","2004-02-28",0,0,0,2004,1,"WE","CRC"
"210","07","2004-02-29",0,0,0,2004,1,"WE","CRC"
"211","07","2004-03-01",0,0,0,2004,1,"WD","CRC"
"212","07","2004-03-02",0,0,0,2004,1,"WD","CRC"
"213","07","2004-03-03",0,0,0,2004,1,"WD","CRC"
"214","07","2004-03-04",0,0,0,2004,1,"WD","CRC"
"215","07","2004-03-05",0,0,0,2004,1,"WE","CRC"
"216","07","2004-03-06",0,0,0,2004,1,"WE","CRC"
"217","07","2004-03-07",0,0,0,2004,1,"WE","CRC"
"218","07","2004-03-08",0,0,0,2004,1,"WD","CRC"
"219","07","2004-03-09",0,0,0,2004,1,"WD","CRC"
"220","07","2004-03-10",0,0,0,2004,1,"WD","CRC"
"221","07","2004-03-11",0,0,0,2004,1,"WD","CRC"
"222","07","2004-03-12",0,0,0,2004,1,"WE","CRC"
