catch_area_code,regulation_type_code,start_datetime,end_datetime
09,NS,2013-07-01,2013-11-30
10,NS,2013-07-01,2014-01-31
12,NS,2013-07-01,2013-12-31
13,MSF,2013-07-01,2013-10-31
07,MSF,2013-08-01,2013-10-31
81,NS,2013-08-01,2014-04-30
82,NS,2013-08-01,2014-04-30
05,NS,2013-09-15,2013-10-31
06,NS,2013-10-01,2013-10-31
13,NS,2013-11-01,2014-04-30
06,NS,2013-12-01,2014-04-10
07,NS,2013-12-01,2014-04-30
09,NS,2014-01-16,2014-04-15
11,NS,2014-02-01,2014-04-30
12,NS,2014-02-01,2014-04-30
05,NS,2014-02-16,2014-04-10
13,NS,2014-05-01,2014-06-30
11,NS,2014-06-01,2014-12-31
05,MSF,2014-07-01,2014-09-18
06,MSF,2014-07-01,2014-09-30
07,NS,2014-07-01,2014-07-31
09,NS,2014-07-01,2014-11-30
10,NS,2014-07-01,2015-01-31
12,NS,2014-07-01,2014-12-31
13,MSF,2014-07-01,2014-10-31
07,MSF,2014-08-01,2014-10-31
81,NS,2014-08-01,2015-04-30
82,NS,2014-08-01,2015-04-30
05,NS,2014-09-19,2014-09-25
05,MSF,2014-09-26,2014-10-31
06,NS,2014-10-01,2014-10-31
13,NS,2014-11-01,2015-04-30
06,NS,2014-12-01,2015-04-10
07,NS,2014-12-01,2015-04-30
09,NS,2015-01-16,2015-04-15
11,NS,2015-02-01,2015-04-30
12,NS,2015-02-01,2015-04-30
05,NS,2015-02-16,2015-04-10
11,NS,2015-06-01,2015-12-31
05,MSF,2015-07-01,2015-09-11
06,MSF,2015-07-01,2015-09-30
09,NS,2015-07-01,2015-11-30
10,NS,2015-07-01,2015-10-15
12,NS,2015-07-01,2015-12-31
13,MSF,2015-07-01,2015-09-30
07,MSF,2015-08-01,2015-09-30
81,NS,2015-08-01,2015-11-30
82,NS,2015-08-01,2015-10-31
05,NS,2015-09-12,2015-09-14
05,MSF,2015-09-15,2015-09-18
05,NS,2015-09-19,2015-09-21
05,MSF,2015-09-22,2015-09-25
05,NS,2015-09-26,2015-09-27
05,MSF,2015-09-28,2015-09-30
06,NS,2015-10-01,2015-10-31
07,NS,2015-10-01,2015-10-31
13,MSF,2015-10-01,2015-10-31
82,NS,2015-11-01,2016-04-30
06,NS,2015-12-01,2016-04-10
07,NS,2015-12-01,2016-04-30
10,NS,2015-12-01,2016-01-31
81,NS,2015-12-01,2016-04-30
09,NS,2016-01-16,2016-04-15
11,NS,2016-02-01,2016-04-30
12,NS,2016-02-01,2016-04-30
05,NS,2015-10-01,2015-10-31
05,NS,2016-02-16,2016-04-30
12,NS,2016-07-01,2016-10-31
13,MSF,2016-10-01,2016-10-21
12,NS,2016-11-01,2017-04-30
13,MSF,2017-05-01,2017-09-30
11,NS,2017-06-01,2017-10-31
05,MSF,2017-07-01,2017-08-31
06,MSF,2017-07-01,2017-08-15
12,NS,2017-07-01,2017-11-30
09,MSF,2017-07-16,2017-09-04
10,MSF,2017-07-01,2018-02-28
82,MSF,2017-08-01,2017-09-04
13,MSF,2017-10-01,2018-04-30
11,MSF,2017-11-01,2018-04-30
12,NS,2017-12-01,2018-04-30
13,MSF,2018-05-01,2018-09-30
11,NS,2018-06-01,2018-07-16
05,MSF,2018-07-01,2018-09-30
06,MSF,2018-07-01,2018-09-30
07,NS,2018-07-01,2018-09-30
10,NS,2018-06-01,2018-11-15
12,NS,2018-07-01,2018-10-31
09,MSF,2018-07-16,2018-09-30
11,NS,2018-07-20,2018-07-23
11,NS,2018-07-27,2018-07-30
11,NS,2018-07-31,2018-09-30
81,NS,2018-08-01,2018-09-30
82,NS,2018-08-01,2018-09-23
13,MSF,2018-10-01,2019-04-30
12,NS,2018-11-01,2019-04-30
11,NS,2018-10-01,2019-04-30
10,NS,2019-01-01,2019-03-31
06,MSF,2019-02-01,2019-04-15
05,MSF,2019-02-16,2019-04-30
13,MSF,2019-05-01,2019-09-30
10,NS,2019-06-01,2019-11-15
05,MSF,2019-07-01,2019-09-30
06,MSF,2019-07-01,2019-09-30
07,NS,2019-07-01,2019-07-31
11,NS,2019-07-01,2019-07-03
12,NS,2019-07-01,2019-10-31
11,NS,2019-07-06,2019-07-10
11,NS,2019-07-13,2019-07-17
11,NS,2019-07-20,2019-07-24
09,MSF,2019-07-25,2019-09-30
11,NS,2019-07-27,2019-07-31
81,NS,2019-08-01,2019-10-31
11,NS,2019-08-03,2019-08-07
11,NS,2019-08-10,2019-08-14
82,MSF,2019-08-16,2019-09-15
11,NS,2019-08-17,2019-08-21
11,NS,2019-08-24,2019-08-25
11,NS,2019-08-26,2019-09-30
07,NS,2019-09-01,2019-09-30
13,MSF,2019-10-01,2020-03-24
12,NS,2019-11-01,2020-04-30
10,NS,2020-01-01,2020-03-24
11,NS,2020-01-01,2020-04-30
09,MSF,2020-02-01,2020-03-24
05,MSF,2020-03-01,2020-03-24
06,MSF,2020-03-01,2020-03-24
13,MSF,2020-05-07,2020-09-30
10,NS,2020-06-01,2020-11-15
05,MSF,2020-07-01,2020-09-30
06,MSF,2020-07-01,2020-09-30
07,NS,2020-07-01,2020-09-30
11,NS,2020-07-01,2020-10-31
12,NS,2020-07-01,2020-10-31
09,MSF,2020-07-16,2020-09-30
13,MSF,2020-10-01,2021-04-30
10,NS,2021-01-01,2021-01-18
05,MSF,2021-03-01,2021-04-30
13,MSF,2021-05-01,2021-09-30
10,NS,2021-06-16,2021-10-31
11,NS,2021-06-16,2021-09-30
05,MSF,2021-07-01,2021-09-30
06,MSF,2021-07-01,2021-09-30
07,MSF,2021-07-01,2021-07-07
12,NS,2021-07-01,2021-09-30
09,MSF,2021-07-16,2021-09-30
81,NS,2021-08-01,2021-09-19
82,MSF,2021-08-14,2021-09-19
11,NS,2021-10-01,2021-10-31
12,NS,2021-10-01,2021-11-30
13,MSF,2021-10-01,2022-04-30
10,NS,2022-01-01,2022-01-02
10,NS,2022-01-03,2022-01-03
10,NS,2022-01-08,2022-01-08
10,NS,2022-01-09,2022-01-09
10,NS,2022-01-10,2022-01-10
10,NS,2022-02-24,2022-02-24
10,NS,2022-02-25,2022-02-25
10,NS,2022-02-26,2022-02-26
10,NS,2022-03-03,2022-03-03
10,NS,2022-03-04,2022-03-04
10,NS,2022-03-05,2022-03-05
10,NS,2022-03-10,2022-03-10
10,NS,2022-03-11,2022-03-11
10,NS,2022-03-12,2022-03-12
10,NS,2022-03-16,2022-03-17
10,NS,2022-03-18,2022-03-18
10,NS,2022-03-19,2022-03-19
10,NS,2022-03-20,2022-03-20
10,NS,2022-03-21,2022-03-24
10,NS,2022-03-25,2022-03-25
10,NS,2022-03-26,2022-03-26
10,NS,2022-03-27,2022-03-27
10,NS,2022-03-28,2022-03-31
13,MSF,2022-05-19,2022-08-25
11,NS,2022-06-01,2022-06-02
11,NS,2022-06-03,2022-06-03
10,NS,2022-06-16,2022-10-31
05,MSF,2022-07-01,2022-07-04
06,MSF,2022-07-01,2022-07-23
11,NS,2022-07-01,2022-07-01
12,NS,2022-07-01,2022-09-30
11,NS,2022-07-02,2022-07-02
05,MSF,2022-07-06,2022-07-06
11,NS,2022-07-06,2022-07-07
05,MSF,2022-07-08,2022-07-08
11,NS,2022-07-08,2022-07-08
11,NS,2022-07-09,2022-07-09
05,MSF,2022-07-10,2022-07-10
05,MSF,2022-07-12,2022-07-12
05,MSF,2022-07-14,2022-07-14
07,MSF,2022-07-14,2022-07-16
09,MSF,2022-07-14,2022-07-16
05,MSF,2022-07-16,2022-07-16
05,MSF,2022-07-18,2022-07-18
05,MSF,2022-07-20,2022-07-20
07,MSF,2022-07-21,2022-07-23
09,MSF,2022-07-21,2022-07-23
05,MSF,2022-07-22,2022-07-22
05,MSF,2022-07-24,2022-09-28
06,MSF,2022-07-27,2022-09-28
07,MSF,2022-07-28,2022-07-30
09,MSF,2022-07-28,2022-09-25
81,NS,2022-08-01,2022-09-30
11,NS,2022-08-03,2022-08-04
11,NS,2022-08-05,2022-08-05
11,NS,2022-08-06,2022-08-06
11,NS,2022-08-10,2022-08-11
11,NS,2022-08-12,2022-08-12
11,NS,2022-08-13,2022-08-13
82,MSF,2022-08-13,2022-09-19
07,MSF,2022-08-16,2022-09-30
11,NS,2022-08-17,2022-08-18
11,NS,2022-08-19,2022-08-19
11,NS,2022-08-20,2022-08-20
11,NS,2022-08-21,2022-08-21
11,NS,2022-08-22,2022-08-25
11,NS,2022-08-26,2022-08-26
11,NS,2022-08-27,2022-08-27
11,NS,2022-08-28,2022-08-28
11,NS,2022-08-29,2022-09-01
13,MSF,2022-08-31,2022-09-30
11,NS,2022-09-02,2022-09-02
11,NS,2022-09-03,2022-09-03
11,NS,2022-09-04,2022-09-05
11,NS,2022-09-06,2022-09-08
11,NS,2022-09-09,2022-09-09
11,NS,2022-09-10,2022-09-10
11,NS,2022-09-11,2022-09-11
11,NS,2022-09-12,2022-09-15
11,NS,2022-09-16,2022-09-16
11,NS,2022-09-17,2022-09-17
11,NS,2022-09-18,2022-09-18
11,NS,2022-09-19,2022-09-22
11,NS,2022-09-23,2022-09-23
11,NS,2022-09-24,2022-09-24
11,NS,2022-09-25,2022-09-25
11,NS,2022-09-26,2022-09-29
11,NS,2022-09-30,2022-09-30
11,NS,2022-10-01,2022-10-31
12,NS,2022-10-01,2022-10-31
13,MSF,2022-10-01,2023-04-30
81,NS,2022-10-01,2022-10-09
05,MSF,2023-07-01,2023-09-30
05,NS,2023-10-01,2023-10-15
06,MSF,2023-07-01,2023-09-30
06,NS,2023-10-01,2023-10-15
07,MSF,2023-07-13,2023-07-15
07,MSF,2023-07-21,2023-07-21
07,MSF,2023-07-28,2023-07-29
07,MSF,2023-08-01,2023-08-31
07,NS,2023-09-01,2023-09-30
81,NS,2023-08-01,2023-09-30
82,NS,2023-08-01,2023-09-24
09,MSF,2023-07-13,2023-07-15
09,MSF,2023-07-20,2023-07-22
09,MSF,2023-07-27,2023-09-17
09,NS,2023-09-18,2023-09-30
10,NS,2023-06-01,2023-10-31
11,NS,2023-06-01,2023-06-04
11,NS,2023-06-08,2023-06-11
11,NS,2023-07-01,2023-07-02
11,NS,2023-07-06,2023-07-09
11,NS,2023-07-13,2023-07-14
11,NS,2023-09-01,2023-10-31
12,NS,2023-07-10,2023-10-31
13,MSF,2023-05-01,2023-10-31
13,MSF,2023-11-01,2023-12-31
10,NS,2023-02-01,2023-02-10
